2026/04/19 15:39:10.746, 68549 MiB, 81920 MiB, 89 %, 284.10 W
2026/04/19 15:39:11.779, 68549 MiB, 81920 MiB, 90 %, 304.89 W
2026/04/19 15:39:12.811, 68549 MiB, 81920 MiB, 89 %, 294.81 W
2026/04/19 15:39:13.848, 68549 MiB, 81920 MiB, 89 %, 299.55 W
2026/04/19 15:39:14.877, 68549 MiB, 81920 MiB, 90 %, 287.07 W
2026/04/19 15:39:15.918, 68549 MiB, 81920 MiB, 86 %, 266.04 W
2026/04/19 15:39:16.950, 68549 MiB, 81920 MiB, 89 %, 307.24 W
2026/04/19 15:39:17.982, 68549 MiB, 81920 MiB, 89 %, 301.91 W
2026/04/19 15:39:19.015, 68549 MiB, 81920 MiB, 85 %, 295.08 W
2026/04/19 15:39:20.047, 68549 MiB, 81920 MiB, 87 %, 294.77 W
2026/04/19 15:39:21.078, 68549 MiB, 81920 MiB, 87 %, 278.50 W
2026/04/19 15:39:22.110, 68549 MiB, 81920 MiB, 82 %, 294.20 W
2026/04/19 15:39:23.147, 68549 MiB, 81920 MiB, 78 %, 276.70 W
2026/04/19 15:39:24.179, 68549 MiB, 81920 MiB, 89 %, 283.49 W
2026/04/19 15:39:25.211, 68549 MiB, 81920 MiB, 89 %, 305.47 W
2026/04/19 15:39:26.259, 68549 MiB, 81920 MiB, 89 %, 304.00 W
2026/04/19 15:39:27.301, 68549 MiB, 81920 MiB, 90 %, 302.22 W
2026/04/19 15:39:28.331, 68549 MiB, 81920 MiB, 90 %, 287.97 W
2026/04/19 15:39:29.368, 68549 MiB, 81920 MiB, 84 %, 307.56 W
2026/04/19 15:39:30.412, 68549 MiB, 81920 MiB, 88 %, 285.33 W
2026/04/19 15:39:31.443, 68549 MiB, 81920 MiB, 88 %, 286.79 W
2026/04/19 15:39:32.479, 68549 MiB, 81920 MiB, 83 %, 288.84 W
2026/04/19 15:39:33.519, 68549 MiB, 81920 MiB, 81 %, 274.64 W
2026/04/19 15:39:34.553, 68549 MiB, 81920 MiB, 86 %, 304.56 W
2026/04/19 15:39:35.588, 68549 MiB, 81920 MiB, 90 %, 297.77 W
2026/04/19 15:39:36.624, 68549 MiB, 81920 MiB, 90 %, 284.10 W
2026/04/19 15:39:37.657, 68549 MiB, 81920 MiB, 89 %, 284.71 W
2026/04/19 15:39:38.689, 68549 MiB, 81920 MiB, 88 %, 277.32 W
2026/04/19 15:39:39.725, 68549 MiB, 81920 MiB, 89 %, 306.92 W
2026/04/19 15:39:40.757, 68549 MiB, 81920 MiB, 88 %, 288.57 W
