2026/04/19 13:58:53.120, 69485 MiB, 81559 MiB, 76 %, 549.00 W
2026/04/19 13:58:54.150, 69485 MiB, 81559 MiB, 74 %, 495.70 W
2026/04/19 13:58:55.180, 69485 MiB, 81559 MiB, 77 %, 601.44 W
2026/04/19 13:58:56.211, 69485 MiB, 81559 MiB, 79 %, 496.04 W
2026/04/19 13:58:57.243, 69485 MiB, 81559 MiB, 93 %, 602.21 W
2026/04/19 13:58:58.275, 69485 MiB, 81559 MiB, 76 %, 483.05 W
2026/04/19 13:58:59.306, 69485 MiB, 81559 MiB, 80 %, 506.23 W
2026/04/19 13:59:00.339, 69485 MiB, 81559 MiB, 22 %, 517.69 W
2026/04/19 13:59:01.371, 69485 MiB, 81559 MiB, 77 %, 485.57 W
2026/04/19 13:59:02.403, 69485 MiB, 81559 MiB, 98 %, 619.42 W
2026/04/19 13:59:03.434, 69485 MiB, 81559 MiB, 76 %, 492.25 W
2026/04/19 13:59:04.465, 69485 MiB, 81559 MiB, 76 %, 500.59 W
2026/04/19 13:59:05.495, 69485 MiB, 81559 MiB, 76 %, 580.25 W
2026/04/19 13:59:06.524, 69485 MiB, 81559 MiB, 83 %, 501.01 W
2026/04/19 13:59:07.555, 69485 MiB, 81559 MiB, 88 %, 610.08 W
2026/04/19 13:59:08.585, 69485 MiB, 81559 MiB, 76 %, 492.30 W
2026/04/19 13:59:09.615, 69485 MiB, 81559 MiB, 88 %, 553.46 W
2026/04/19 13:59:10.645, 69485 MiB, 81559 MiB, 76 %, 545.17 W
2026/04/19 13:59:11.677, 69485 MiB, 81559 MiB, 78 %, 505.42 W
2026/04/19 13:59:12.712, 69485 MiB, 81559 MiB, 76 %, 605.52 W
2026/04/19 13:59:13.744, 69485 MiB, 81559 MiB, 77 %, 407.43 W
2026/04/19 13:59:14.776, 69485 MiB, 81559 MiB, 88 %, 546.41 W
2026/04/19 13:59:15.807, 69485 MiB, 81559 MiB, 77 %, 541.54 W
2026/04/19 13:59:16.837, 69485 MiB, 81559 MiB, 75 %, 497.24 W
2026/04/19 13:59:17.870, 69485 MiB, 81559 MiB, 82 %, 599.93 W
2026/04/19 13:59:18.902, 69485 MiB, 81559 MiB, 79 %, 494.82 W
2026/04/19 13:59:19.932, 69485 MiB, 81559 MiB, 92 %, 571.74 W
2026/04/19 13:59:20.962, 69485 MiB, 81559 MiB, 76 %, 523.42 W
2026/04/19 13:59:21.995, 69485 MiB, 81559 MiB, 75 %, 500.01 W
2026/04/19 13:59:23.028, 69485 MiB, 81559 MiB, 76 %, 601.70 W
2026/04/19 13:59:24.060, 69485 MiB, 81559 MiB, 82 %, 502.60 W
2026/04/19 13:59:25.091, 69485 MiB, 81559 MiB, 98 %, 595.69 W
2026/04/19 13:59:26.121, 69485 MiB, 81559 MiB, 70 %, 452.98 W
2026/04/19 13:59:27.154, 69485 MiB, 81559 MiB, 78 %, 392.79 W
2026/04/19 13:59:28.188, 69485 MiB, 81559 MiB, 77 %, 604.26 W
2026/04/19 13:59:29.221, 69485 MiB, 81559 MiB, 77 %, 496.49 W
2026/04/19 13:59:30.252, 69485 MiB, 81559 MiB, 90 %, 563.09 W
2026/04/19 13:59:31.284, 69485 MiB, 81559 MiB, 77 %, 512.05 W
2026/04/19 13:59:32.315, 69485 MiB, 81559 MiB, 77 %, 502.16 W
2026/04/19 13:59:33.347, 69485 MiB, 81559 MiB, 76 %, 604.02 W
2026/04/19 13:59:34.378, 69485 MiB, 81559 MiB, 75 %, 497.73 W
2026/04/19 13:59:35.408, 69485 MiB, 81559 MiB, 97 %, 618.51 W
2026/04/19 13:59:36.438, 69485 MiB, 81559 MiB, 79 %, 496.34 W
2026/04/19 13:59:37.468, 69485 MiB, 81559 MiB, 79 %, 507.01 W
